Variable Name,Description,Prompt,Data Type,Permisible Values,Units,Required,Unique,CDE,"Comments (Optional, Form Collection Name)"
30138-COVID_Why-999,"The following best describes why the participant was tested for the Coronavirus, selected; Prefer not to answer",Which of the following best describes why you were tested for the Coronavirus? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
32006-WhyTested_specify,Other reasons tested for coronavirus,"Other reasons tested for coronavirus, please specify:",Text,,,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-4,"Symptoms experienced prior to getting tested, selected; Chest pain",Which of the following symptoms did you experience prior to getting tested? Chest pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-11,"Symptoms experienced prior to getting tested, selected; Fever or feverish feeling",Which of the following symptoms did you experience prior to getting tested? Fever or feverish feeling,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-14,"Symptoms experienced prior to getting tested, selected; Loss of balance",Which of the following symptoms did you experience prior to getting tested? Loss of balance,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-17,"Symptoms experienced prior to getting tested, selected; Muscle aches (not due to exercise)",Which of the following symptoms did you experience prior to getting tested? Muscle aches (not due to exercise),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-18,"Symptoms experienced prior to getting tested, selected; New confusion",Which of the following symptoms did you experience prior to getting tested? New confusion,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-19,"Symptoms experienced prior to getting tested, selected; Pinkeye or Conjunctivitis",Which of the following symptoms did you experience prior to getting tested? Pinkeye or Conjunctivitis,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-25,"Symptoms experienced prior to getting tested, selected; Sore throat",Which of the following symptoms did you experience prior to getting tested? Sore throat,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-26,"Symptoms experienced prior to getting tested, selected; Stomach or abdominal pain",Which of the following symptoms did you experience prior to getting tested? Stomach or abdominal pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-28,"Symptoms experienced prior to getting tested, selected; Unusual shivering or shaking",Which of the following symptoms did you experience prior to getting tested? Unusual shivering or shaking,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-29,"Symptoms experienced prior to getting tested, selected; Nausea or vomiting",Which of the following symptoms did you experience prior to getting tested? Nausea or vomiting,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-31,"Symptoms experienced prior to getting tested, selected; Other",Which of the following symptoms did you experience prior to getting tested? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30141-covid_tst_symptoms-998,"Symptoms experienced prior to getting tested, selected; None of the above",Which of the following symptoms did you experience prior to getting tested? None of the above,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
32008-testsypmtoms_specify,Other symptoms prior to testing for coronavirus,"Other symptoms prior to testing, please specify:",Text,,,TRUE,,,Symptom Screening
30144-Flu_Result,Last 30 Days FLU Tested Results,"In the past 30 days, have you been tested for the flu, and if so, what was the result of your most recent test?",Categorical,"1, No, I have not been tested; 2, Yes, and I tested positive; 3, Yes, and I tested negative; 4, Yes, and my results were inconclusive; 5, Yes, and my results are still pending; 999, Prefer not to answer",,TRUE,,,Symptom Screening
32027-flu_tst_date_DEID,Number of days from day of Consent when Participant received a FLU test,What was the date of the FLU test that you received in the past 30 days (outside of this research study)?,Integer,De-identified Value in Days,Days,TRUE,,,Symptom Screening
30147-flu_why-1,"The following best describes why the participant was tested for the Flu, selected; I had Flu symptoms (fever, cough, chills, nausea, etc…)","Which of the following best describes why you were tested for the Flu? I had Flu symptoms (fever, cough, chills, nausea, etc…)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30147-flu_why-3,"The following best describes why the participant was tested for the Flu, selected; Other",Which of the following best describes why you were tested for the Flu? Other,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30147-flu_why-999,"The following best describes why the participant was tested for the Flu, selected; Prefer not to answer",Which of the following best describes why you were tested for the Flu? Prefer not to answer,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
32009-flu_why_specify,Other reasons tested for FLU,"Other reasons tested for FLU, please specify:",Text,,,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-1,"Symptoms experienced prior to getting tested, selected; Any tingling/numbness/swelling in hands or feet",Which of the following symptoms did you experience prior to getting tested? Any tingling/numbness/swelling in hands or feet,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-3,"Symptoms experienced prior to getting tested, selected; Change in or loss of appetite",Which of the following symptoms did you experience prior to getting tested? Change in or loss of appetite,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-5,"Symptoms experienced prior to getting tested, selected; Chills",Which of the following symptoms did you experience prior to getting tested? Chills,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-6,"Symptoms experienced prior to getting tested, selected; Cough",Which of the following symptoms did you experience prior to getting tested? Cough,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-7,"Symptoms experienced prior to getting tested, selected; Diarrhea",Which of the following symptoms did you experience prior to getting tested? Diarrhea,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-8,"Symptoms experienced prior to getting tested, selected; Difficulty breathing",Which of the following symptoms did you experience prior to getting tested? Difficulty breathing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-9,"Symptoms experienced prior to getting tested, selected; Excessive sweating",Which of the following symptoms did you experience prior to getting tested? Excessive sweating,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-10,"Symptoms experienced prior to getting tested, selected; Fatigue (more than normal)",Which of the following symptoms did you experience prior to getting tested? Fatigue (more than normal),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-12,"Symptoms experienced prior to getting tested, selected; Headaches",Which of the following symptoms did you experience prior to getting tested? Headaches,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-13,"Symptoms experienced prior to getting tested, selected; Joint or any other unexplained pain",Which of the following symptoms did you experience prior to getting tested? Joint or any other unexplained pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-15,"Symptoms experienced prior to getting tested, selected; Loss of taste",Which of the following symptoms did you experience prior to getting tested? Loss of taste,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-16,"Symptoms experienced prior to getting tested, selected; Loss of smell",Which of the following symptoms did you experience prior to getting tested? Loss of smell,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-21,"Symptoms experienced prior to getting tested, selected; Runny nose",Which of the following symptoms did you experience prior to getting tested? Runny nose,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-23,"Symptoms experienced prior to getting tested, selected; Shortness of breath",Which of the following symptoms did you experience prior to getting tested? Shortness of breath,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30150-flu_tst_symptoms-30,"Symptoms experienced prior to getting tested, selected; Wheezing",Which of the following symptoms did you experience prior to getting tested? Wheezing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
32010-flu_tst_specify,Other symptoms prior to testing for FLU,"Other symptoms prior to testing, please specify:",Text,,,TRUE,,,Symptom Screening
30153-Symptoms-1,"In the last 14 days, the participant experienced the following symptoms, selected; None","In the last 14 days, did you experience any of the following symptoms? None",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30153-Symptoms-2,"In the last 14 days, the participant experienced the following symptoms, selected; Fever or feeling feverish","In the last 14 days, did you experience any of the following symptoms? Fever or feeling feverish",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30153-Symptoms-3,"In the last 14 days, the participant experienced the following symptoms, selected; Muscle aches (not due to exercise)","In the last 14 days, did you experience any of the following symptoms? Muscle aches (not due to exercise)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30153-Symptoms-4,"In the last 14 days, the participant experienced the following symptoms, selected; Pinkeye or Conjunctivitis","In the last 14 days, did you experience any of the following symptoms? Pinkeye or Conjunctivitis",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30153-Symptoms-5,"In the last 14 days, the participant experienced the following symptoms, selected; Fatigue (more than normal)","In the last 14 days, did you experience any of the following symptoms? Fatigue (more than normal)",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30153-Symptoms-6,"In the last 14 days, the participant experienced the following symptoms, selected; Chills","In the last 14 days, did you experience any of the following symptoms? Chills",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30153-Symptoms-999,"In the last 14 days, the participant experienced the following symptoms, selected; Prefer not to answer","In the last 14 days, did you experience any of the following symptoms? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-1,"In the last 14 days, did you experience any of the following respiratory symptoms? None","In the last 14 days, did you experience any of the following respiratory symptoms? None",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-2,"In the last 14 days,  the participant experienced the following respiratory symptoms; Runny nose","In the last 14 days, did you experience any of the following respiratory symptoms? Runny nose",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-3,"In the last 14 days,  the participant experienced the following respiratory symptoms; Cough","In the last 14 days, did you experience any of the following respiratory symptoms? Cough",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30154-Symptoms_Resp-4,"In the last 14 days,  the participant experienced the following respiratory symptoms; Difficulty breathing","In the last 14 days, did you experience any of the following respiratory symptoms? Difficulty breathing",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30154-Symptoms_Resp-5,"In the last 14 days,  the participant experienced the following respiratory symptoms; Wheezing","In the last 14 days, did you experience any of the following respiratory symptoms? Wheezing",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-6,"In the last 14 days,  the participant experienced the following respiratory symptoms; Shortness of breath","In the last 14 days, did you experience any of the following respiratory symptoms? Shortness of breath",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30154-Symptoms_Resp-7,"In the last 14 days,  the participant experienced the following respiratory symptoms; Chest pain","In the last 14 days, did you experience any of the following respiratory symptoms? Chest pain",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-21,"In the last 14 days,  the participant experienced the following respiratory symptoms; Sore throat","In the last 14 days, did you experience any of the following respiratory symptoms? Sore throat",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30154-Symptoms_Resp-999,"In the last 14 days,  the participant experienced the following respiratory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following respiratory symptoms? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30155-Symptom_Resp_other,Respiratory pre-existing,Are these symptoms consistent with any chronic respiratory conditions you have?,Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30156-Symptom_GI-1,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; None","In the last 14 days, did you experience any of the following gastrointestinal symptoms? None",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30156-Symptom_GI-2,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Diarrhea","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Diarrhea",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30156-Symptom_GI-3,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Stomach or abdominal pain","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Stomach or abdominal pain",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30156-Symptom_GI-4,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Change in or loss of appetite","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Change in or loss of appetite",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30156-Symptom_GI-5,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Nausea or vomiting","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Nausea or vomiting",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30156-Symptom_GI-999,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following gastrointestinal symptoms? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30157-Symtpom_GI_other,Gastrointestinal Pre-existing,"Are these symptoms consistent with any chronic gastrointestinal conditions you have, such as Celiac, Crohn's, Diverticulitis, GERD, Irritable Bowel Syndrome, food allergies, or other similar chronic conditions?",Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-1,"In the last 14 days,  the participant experienced the following neurological symptoms; None","In the last 14 days, did you experience any of the following neurological symptoms? None",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-2,"In the last 14 days,  the participant experienced the following neurological symptoms; Headaches","In the last 14 days, did you experience any of the following neurological symptoms? Headaches",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30158-Symtpom_Neuro-3,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of balance","In the last 14 days, did you experience any of the following neurological symptoms? Loss of balance",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-4,"In the last 14 days,  the participant experienced the following neurological symptoms; Slurred speech","In the last 14 days, did you experience any of the following neurological symptoms? Slurred speech",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-5,"In the last 14 days,  the participant experienced the following neurological symptoms; New confusion","In the last 14 days, did you experience any of the following neurological symptoms? New confusion",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-6,"In the last 14 days,  the participant experienced the following neurological symptoms; Unusual shivering or shaking","In the last 14 days, did you experience any of the following neurological symptoms? Unusual shivering or shaking",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-7,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of smell","In the last 14 days, did you experience any of the following neurological symptoms? Loss of smell",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30158-Symtpom_Neuro-8,"In the last 14 days,  the participant experienced the following neurological symptoms; Loss of taste","In the last 14 days, did you experience any of the following neurological symptoms? Loss of taste",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30158-Symtpom_Neuro-9,"In the last 14 days,  the participant experienced the following neurological symptoms; Any tingling/numbness/swelling in hands or feet","In the last 14 days, did you experience any of the following neurological symptoms? Any tingling/numbness/swelling in hands or feet",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30158-Symtpom_Neuro-999,"In the last 14 days,  the participant experienced the following neurological symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following neurological symptoms? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30159-Symptom_Neuro_Other,Neurological pre-existing,"Are these symptoms consistent with any chronic neurological conditions you have, such as migraines, stroke, or other similar chronic conditions?",Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,TRUE,,,Symptom Screening
30160-Symptom_Inflamm-1,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; None","In the last 14 days, did you experience any of the following inflammatory symptoms? None",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30160-Symptom_Inflamm-2,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Joint or any other unexplained pain","In the last 14 days, did you experience any of the following inflammatory symptoms? Joint or any other unexplained pain",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30160-Symptom_Inflamm-3,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Red or purple rash or lesions on your toes","In the last 14 days, did you experience any of the following inflammatory symptoms? Red or purple rash or lesions on your toes",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30160-Symptom_Inflamm-4,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Unexplained rashes anywhere else","In the last 14 days, did you experience any of the following inflammatory symptoms? Unexplained rashes anywhere else",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,Symptoms,Symptom Screening
30160-Symptom_Inflamm-5,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Excessive sweating","In the last 14 days, did you experience any of the following inflammatory symptoms? Excessive sweating",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30160-Symptom_Inflamm-999,"In the last 14 days,  the participant experienced the following  inflammatory symptoms; Prefer not to answer","In the last 14 days, did you experience any of the following inflammatory symptoms? Prefer not to answer",Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,TRUE,,,Symptom Screening
30161-Symptom_Inflamm_othe,Inflammatory pre-existing,"Are these symptoms consistent with any chronic immune system conditions you have, such as Graves' disease, Lupus, Lyme disease, Rheumatoid arthritis or other similar chronic conditions?",Categorical,"1, No; 2, Yes; 3, Not sure; 999, Prefer not to answer",,TRUE,,,Symptom Screening
32588-Symptoms_Ill_1,(If applicable) The participant indicates this was a first symptom related to: Any tingling/numbness/swelling in hands or feet,Did you experience this symptom first? Any tingling/numbness/swelling in hands or feet,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32589-Symptoms_Ill_2,(If applicable) The participant indicates this was a first symptom related to: Bluish lips or face,Did you experience this symptom first? Bluish lips or face,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32590-Symptoms_Ill_3,(If applicable) The participant indicates this was a first symptom related to: Change in or loss of appetite,Did you experience this symptom first? Change in or loss of appetite,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32591-Symptoms_Ill_4,(If applicable) The participant indicates this was a first symptom related to: Chest pain,Did you experience this symptom first? Chest pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32592-Symptoms_Ill_5,(If applicable) The participant indicates this was a first symptom related to: Chills,Did you experience this symptom first? Chills,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32593-Symptoms_Ill_6,(If applicable) The participant indicates this was a first symptom related to: Cough,Did you experience this symptom first? Cough,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32594-Symptoms_Ill_7,(If applicable) The participant indicates this was a first symptom related to: Diarrhea,Did you experience this symptom first? Diarrhea,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32595-Symptoms_Ill_8,(If applicable) The participant indicates this was a first symptom related to: Difficulty breathing,Did you experience this symptom first? Difficulty breathing,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32596-Symptoms_Ill_9,(If applicable) The participant indicates this was a first symptom related to: Excessive sweating,Did you experience this symptom first? Excessive sweating,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32597-Symptoms_Ill_10,(If applicable) The participant indicates this was a first symptom related to: Fatigue (more than normal),Did you experience this symptom first? Fatigue (more than normal),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32598-Symptoms_Ill_11,(If applicable) The participant indicates this was a first symptom related to: Fever or feverish feeling,Did you experience this symptom first? Fever or feverish feeling,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32599-Symptoms_Ill_12,(If applicable) The participant indicates this was a first symptom related to: Headaches,Did you experience this symptom first? Headaches,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32600-Symptoms_Ill_13,(If applicable) The participant indicates this was a first symptom related to: Joint or any other unexplained pain,Did you experience this symptom first? Joint or any other unexplained pain,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32601-Symptoms_Ill_14,(If applicable) The participant indicates this was a first symptom related to: Loss of balance,Did you experience this symptom first? Loss of balance,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32602-Symptoms_Ill_15,(If applicable) The participant indicates this was a first symptom related to: Loss of taste,Did you experience this symptom first? Loss of taste,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32603-Symptoms_Ill_16,(If applicable) The participant indicates this was a first symptom related to: Loss of smell,Did you experience this symptom first? Loss of smell,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32604-Symptoms_Ill_17,(If applicable) The participant indicates this was a first symptom related to: Muscle aches (not due to exercise),Did you experience this symptom first? Muscle aches (not due to exercise),Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32605-Symptoms_Ill_18,(If applicable) The participant indicates this was a first symptom related to: New confusion,Did you experience this symptom first? New confusion,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
32606-Symptoms_Ill_19,(If applicable) The participant indicates this was a first symptom related to: Pinkeye or Conjunctivitis,Did you experience this symptom first? Pinkeye or Conjunctivitis,Categorical,"0, Not Selected or Not Provided; 1, Selected or Yes",,FALSE,,,Symptom Screening
